,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
360,2.5,Chimney Problem,Boulder,V-easy,1,20.0,,Mel's Diner Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.08392,-116.23255
361,2.5,Left Cilley Crack,Boulder,V0,1,22.0,,Wave Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,33.9977,-116.14836000000001
362,1.6,Smoothie,Boulder,V0+,1,20.0,Interceptor Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.06259,-116.22631000000001
363,2.1,Stepladder Mantel,Boulder,V0,1,12.0,,Pothole Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.98355,-116.15137
364,2.0,Little Sister,Boulder,V3,1,10.0,,Planet X Boulder,Planet X Area,Planet X Bouldering,,Joshua Tree National Park,California,34.02065,-116.16221000000002
365,2.5,Ring of Fire,Boulder,V2,1,14.0,,Hobbit Hole Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.046209999999995,-116.10331000000001
366,2.0,Belly Roll,Boulder,V1,1,12.0,,Picture Perfect Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.012170000000005,-116.16226
367,2.5,Binding Arete,Boulder,V0,1,16.0,,Powell Pinch Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.0403,-116.0942
368,2.5,Use What I Got,Boulder,V2,1,15.0,,Facet Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.01282,-116.17926000000001
369,1.9,Fish,Boulder,V-easy,1,15.0,,Double Orifice Boulder,HVCG East,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.00254,-116.14998
370,1.7,Descent Route,Boulder,V-easy,1,20.0,,Group Campsite 6,,Sheep Pass Group CG Area,,Joshua Tree National Park,California,34.0097,-116.16717
371,2.0,Holenoid Right Side,Boulder,V1-,1,15.0,Hensel Boulder,Scatterbrain Area,HVCG North,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01999,-116.16161000000001
372,2.1,Right Arete,Boulder,V0,1,12.0,,Towers of Uncertainty,,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.09705,-116.16531
373,2.1,Simpleton Arete,Boulder,V0-,1,15.0,,The Dwarf,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.0028,-116.14955
374,2.1,Pickled Pigs Feet,Boulder,V0-,1,16.0,,Garden Angel Boulder,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.0283,-116.18198999999998
375,1.9,West Arete,Boulder,V0-,1,20.0,,False Hueco Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.0097,-116.16717
376,1.9,Interceptor,Boulder,V0,1,15.0,,Meadows Boulder,,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01191,-116.15106999999999
377,1.6,Pothole Arete,Boulder,V-easy,1,12.0,,Hoi Polloi Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.016259999999996,-116.16212
