,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
472,2.0,Islands in the Stream,Boulder,V0+,1,12.0,,Big Brother Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,34.02395,-116.17707
473,1.7,Kindling,Boulder,V-easy,1,12.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.09495,-116.15858999999999
474,1.5,Mini-Slab,Boulder,V-easy,1,10.0,,Beak Rock,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.06262,-116.22636999999999
475,2.0,Pinto,Boulder,V-easy,1,15.0,,Chuckawalla Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01236,-116.17885
476,1.6,Unnamed Traverse,Boulder,V4,1,10.0,,French Roast Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.08958,-116.25335
477,1.6,Border Patrol,Boulder,V1,1,11.0,,Chocolate Boulder 2,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.0181,-116.1698
478,1.6,Squirt,Boulder,V0,1,12.0,,The Hatrack,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.00036,-116.14668
479,1.4,Sombrero,Boulder,V0-1,1,10.0,,Penguins Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,33.98928,-116.16353000000001
480,2.0,Poorman's Railer,Boulder,V1,1,8.0,,Supreme Boulder,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.01398,-116.15438999999999
481,2.0,Mr. Hyde,Boulder,V0-,1,10.0,,Trailblazer Rock,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.020379999999996,-116.16561999999999
482,2.0,Under the Garden Angel Right,Boulder,V-easy,1,10.0,,Xenolithic Boulder,,Loveland Bouldering,,Joshua Tree National Park,California,33.99759,-116.14643000000001
483,2.0,Speed of Leather,Boulder,V6,1,10.0,Tour Boulder Two,Tour Boulders,Lechlinksi Cracks Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.02065,-116.16221000000002
484,1.4,South Face,Boulder,V-easy,1,17.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01419,-116.15821000000001
485,2.0,Leisure World,Boulder,V1,1,10.0,,Pacifier and The Nostril,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,33.9863,-116.1602
486,2.0,Love Handles,Boulder,V3,1,20.0,,Mel's Diner Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,33.98965,-116.16317
487,2.0,Liquid Wrench,Boulder,V1,1,15.0,,Lizzie Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.02675,-116.14112
488,2.0,The 4th Amendment,Boulder,V0 R,1,23.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.000479999999996,-116.1467
489,1.8,Retro,Boulder,V0,1,15.0,,The Real Hall of Horrors,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
490,2.0,Flake Dyno,Boulder,V3,1,15.0,,Shocked Quartz,HVCG North,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.02415,-116.1552
491,1.8,Celebration of the Lizard,Boulder,V0,1,12.0,,The Doctor Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.020559999999996,-116.16505
492,2.0,French Roast,Boulder,V2,1,12.0,,Pony Stampede Boulder,Semi-Precious Bouldering,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,33.98935,-116.16356
493,2.0,Bodacious,Boulder,V3,1,15.0,,Chocolate Boulder 2,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.06265,-116.22639
494,2.0,Capuchon,Boulder,V0,1,12.0,,Meadows Boulder,,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.98928,-116.16353000000001
495,2.0,Dummy Up,Boulder,V3,1,20.0,,Baby Face Boulder,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.01229,-116.17935
496,2.0,J.B. Supreme,Boulder,V2,1,12.0,,Yabo Roof Area,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.014359999999996,-116.16846000000001
497,2.0,Trailblazer,Boulder,V2,1,13.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01296,-116.16878
499,2.0,Email,Boulder,V3,1,20.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.017070000000004,-116.04227
500,2.0,Cinders,Boulder,V0+,1,15.0,,Spider Wall,,Indian Cove Campground,,Joshua Tree National Park,California,33.94182,-116.07845
501,1.8,Ultraviolet,Boulder,V2,1,12.0,,Arete Boulders,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
502,1.8,Pacifier,Boulder,V1,1,14.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01867,-116.16998999999998
503,1.7,Chitlins,Boulder,V-easy,1,15.0,,Fire' or Retire' Boulder,HVCG East,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0283,-116.18198999999998
504,1.7,Heat Stroke,Boulder,V0,1,12.0,,Ankle Breaker Rock,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.0202,-116.165
505,1.5,Ribtickler,Boulder,V2,1,14.0,,Moffat Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.01419,-116.15821000000001
506,2.0,Chevron Star,Boulder,V2 R,1,15.0,,In the Shadow of the Slash Boulder,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.00056,-116.14758
507,2.0,Shocked Quartz,Boulder,V0,1,12.0,,Fat Lip Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.01981,-116.1637
508,2.0,Doctor Brown,Boulder,V10,1,13.0,,Collieherb Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.01165,-116.18082
509,2.0,Pony Stampede,Boulder,V2,1,6.0,,Big Brother Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,34.012370000000004,-116.16206000000001
512,2.0,Ghetto Booty,Boulder,V4,1,12.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.06265,-116.22639
513,2.0,Thin Black Dike,Boulder,V3,1,18.0,,Victory Boulder,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,33.99418,-116.14301
514,2.0,Babyface Nelson,Boulder,V4,1,14.0,,Campfire Circle Boulder,HVCG South,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.95997,-116.08043
515,2.0,Unnamed v4,Boulder,V4,1,14.0,,V1 Boulder,Inner Circle,The Underground,Queen Mountain Bouldering,Joshua Tree National Park,California,34.01468,-116.1658
516,2.0,Unnamed,Boulder,V-easy,1,8.0,Tour Boulder One,Tour Boulders,Lechlinksi Cracks Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.01398,-116.15438999999999
517,2.0,Chicken Wing,Boulder,V0-,1,20.0,Mullet Bloc,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.02675,-116.14112
518,2.0,Unnamed,Boulder,V-easy,1,8.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.01398,-116.15438999999999
519,2.0,Fart Man,Boulder,V1,1,15.0,,Tidal Wave Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.09375,-116.1613
520,2.0,Right Arete (sit),Boulder,V2+,1,12.0,,The Iceberg,The Arctic Circle,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.02492,-116.15901000000001
521,2.0,Face Off,Boulder,V2,1,12.0,,Split Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
522,2.0,Fire' or Retire',Boulder,V5,1,16.0,,Dino's Egg,,Outback Bouldering,,Joshua Tree National Park,California,34.01818,-116.16038999999999
523,2.0,Aiguille de Ankle Breaker,Boulder,V2,1,15.0,,Mel's Diner Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.01509,-116.17868999999999
524,2.0,Jerryatric,Boulder,V2,1,20.0,,Hemmingway Boulder-1,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,33.98393,-116.15202
525,2.0,Shadow of the Slash Right,Boulder,V0+,1,7.0,,Friction Slab,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,33.95325,-116.08697
527,2.0,Fat Lip,Boulder,V0,1,10.0,,Romp Roof,,Outback Bouldering,,Joshua Tree National Park,California,34.02673,-116.14133000000001
528,2.0,Herbaliser,Boulder,V2,1,15.0,,Hillraiser Boulder,,Nancy Karl Trail,,Joshua Tree National Park,California,33.9884,-116.16268000000001
529,2.0,Big Brother,Boulder,V2,1,22.0,,Atlantis boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.000479999999996,-116.1467
530,2.0,Old Wave,Boulder,V3,1,15.0,,Hillraiser Boulder,,Nancy Karl Trail,,Joshua Tree National Park,California,34.02608,-116.14135
531,2.0,Hershey Kiss South Arete,Boulder,V1,1,15.0,,Hillraiser Boulder,,Nancy Karl Trail,,Joshua Tree National Park,California,34.018240000000006,-116.16036000000001
532,2.0,Snack in the Box,Boulder,V1,1,10.0,,Hillraiser Boulder,,Nancy Karl Trail,,Joshua Tree National Park,California,34.01678,-116.16358000000001
533,2.0,Hop Wallop,Boulder,V0-,1,10.0,,,,Black Rock Canyon CG,,Joshua Tree National Park,California,34.01034,-116.17188999999999
534,2.0,Weenie Traverse,Boulder,V2,1,10.0,,L. Ron Hubbard's Boulder,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,34.016999999999996,-116.16083
535,2.0,V1 Left,Boulder,V1+,1,8.0,,Maverick Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.05942,-116.10196
536,2.0,Bluecut,Boulder,V0,1,12.0,,Jumbo Rocks Entrance,,Jumbo Rock Area,,Joshua Tree National Park,California,33.94189,-116.0785
537,2.0,The Mullet,Boulder,V1,1,15.0,,Intersection Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0441,-116.1061
538,2.0,Mainland Temple of the Perfect Wave,Boulder,V1+ PG13,1,20.0,,Intersection Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.04009,-116.19386999999999
539,2.0,Bedrock Arete,Boulder,V0,1,15.0,,The Hang West,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,34.02066,-116.16503
540,2.0,Remote Sensor,Boulder,V1,1,18.0,,Blip Boulder,Embryo Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.0403,-116.0942
541,1.6,Blurb,Boulder,V-easy,1,15.0,,Northern Headstone Boulders,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.00254,-116.14998
542,1.5,The Egg Timer,Boulder,V-easy,1,10.0,,Dream Sequence Boulder,Lonely Stones 1,Quail Springs Bouldering,,Joshua Tree National Park,California,34.020509999999994,-116.16503999999999
543,1.7,Blue Plate Special,Boulder,V-easy,1,20.0,,Alisters Cave,,Barker Dam Bouldering,,Joshua Tree National Park,California,34.0283,-116.18198999999998
544,2.0,Hemmingway Block,"TR, Boulder",5.9 V-easy,1,10.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,34.024,-116.1772
545,1.2,Friction 100,Boulder,V0-,1,10.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,34.02841,-116.14536000000001
546,2.0,Youth Body Explosion (aka Lamprecht Problem),Boulder,V11,1,15.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,34.0153,-116.15811000000001
547,2.0,Roof Romp Direct,Boulder,V6,1,10.0,,The Real Hall of Horrors,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.02174,-116.16332
548,2.0,The Summon,Boulder,V1,1,15.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.106390000000005,-116.32208999999999
549,2.0,Unknown V4,Boulder,V4,1,10.0,,Powers Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.01806,-116.18041000000001
550,2.0,Cenobite,Boulder,V1,1,20.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,34.106390000000005,-116.32208999999999
551,2.0,Uncle Frank,Boulder,V1-,1,20.0,,Bullet Proof Boulder,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.106390000000005,-116.32208999999999
554,2.0,The Box,Boulder,V1+,1,15.0,,Billboard Buttress,,Indian Cove Campground,,Joshua Tree National Park,California,34.106390000000005,-116.32208999999999
555,2.0,Middle Line,Boulder,V1,1,9.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.07521,-116.3879
556,2.0,Dianetics,Boulder,V0+,1,6.0,,Smith Rock,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.07323,-116.38682
557,2.0,Renegade Sit,Boulder,V3-4,1,20.0,,Newton's Law Boulder,Planet X Area,Planet X Bouldering,,Joshua Tree National Park,California,33.98595,-116.15924
558,2.0,Which is Wort,Boulder,V0 R,1,10.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,33.9908,-116.06709
559,2.0,Split End Left,Boulder,V1+,1,9.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.01538,-116.16346000000001
560,2.0,Fling,Boulder,V2-,1,9.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.01538,-116.16346000000001
561,2.0,Nibiru,Boulder,V9,1,15.0,,Lucky Boy Bouldering,,*Joshua Tree Bouldering*,,Joshua Tree National Park,California,33.997890000000005,-116.1543
562,2.0,C-Section,Boulder,V1,1,8.0,,Bullet Proof Boulder,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.0809,-116.24576
563,2.0,Unnamed Crack,Boulder,V0,1,20.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,33.98475,-116.15252
564,2.0,Dream Sequence Direct,Boulder,V5,1,14.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.08958,-116.25335
565,2.0,Eternal Sunshine,Boulder,V2,1,18.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.0317,-116.1499
567,2.0,The Brotherhood Boulder (B.O.E. L.),Boulder,V4,1,20.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.018229999999996,-116.0737
568,2.0,The Dangler Boulder,Boulder,V4,1,12.0,,Psycho Boulders,,Quail Springs Bouldering,,Joshua Tree National Park,California,34.018229999999996,-116.0737
569,2.0,The Bona Fide Boulder,Boulder,V2-3,1,12.0,Little Big Horn Boulder,Little Bighorn Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.018229999999996,-116.0737
570,1.8,Lost Lieback,Boulder,V-easy,1,15.0,,Master Cylinder,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.00056,-116.14758
571,2.0,Psycho Dyno,Boulder,V5,1,20.0,,WWE Boulder,The Backyard,Group site 1,Sheep Pass Group CG Area,Joshua Tree National Park,California,34.0325,-116.20338000000001
572,2.0,Little Tool,Boulder,V2,1,12.0,,Teflon Boulder,The Outer Rim,Quail Springs Bouldering,,Joshua Tree National Park,California,33.98405,-116.15198999999998
573,2.0,Knobvious wall,Boulder,V2-3,1,10.0,,Yabo Roof Area,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.018229999999996,-116.0737
574,2.0,Pistol Whipped,Boulder,V4,1,10.0,,Halfling Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,34.03368,-116.18437
575,2.0,Psycho Roof.,Boulder,V2,1,20.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0325,-116.20338000000001
576,2.0,Crack a No No,Boulder,V1,1,15.0,,Dike Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.027190000000004,-116.14308
577,2.0,Gait of Power Traverse,Boulder,V1,1,20.0,,Transition Boulder,,49 Palms Oasis Area,,Joshua Tree National Park,California,34.0935,-116.1561
578,2.0,The Bleeding Stone Bouldering,Boulder,V2-3,1,10.0,,The Rabbit Warren,,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.0325,-116.20338000000001
579,2.0,Kurt Smith Problem,Boulder,V3,1,15.0,,Transplants Boulder,Love Nest Area,Planet X Bouldering,,Joshua Tree National Park,California,34.02469,-116.15841999999999
580,2.0,Newton's Law (sit),Boulder,V9,1,15.0,,Facet Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,33.99586,-116.15628000000001
581,2.0,John's Route,Boulder,V3,1,20.0,,Camp Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.018229999999996,-116.0737
582,2.0,V50,Boulder,V4,1,12.0,,The Wood Block,Love Nest Area,Planet X Bouldering,,Joshua Tree National Park,California,34.0325,-116.20338000000001
583,2.0,Psycho Crack,Boulder,V3,1,20.0,,The Wood Block,Love Nest Area,Planet X Bouldering,,Joshua Tree National Park,California,34.0325,-116.20338000000001
584,2.0,P is For Peril,Boulder,V4,1,15.0,,The Phantom Cart,The Outer Rim,Quail Springs Bouldering,,Joshua Tree National Park,California,34.018229999999996,-116.0737
585,2.0,Shotgun Wedding,Boulder,V4,1,12.0,,The Phantom Cart,The Outer Rim,Quail Springs Bouldering,,Joshua Tree National Park,California,34.03368,-116.18437
586,2.0,Scumbler Left,Boulder,V4,1,12.0,,Callous Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.0325,-116.20338000000001
588,2.0,Psycho Slab.,Boulder,V4,1,15.0,,Kya's Krag,,49 Palms Oasis Area,,Joshua Tree National Park,California,34.0325,-116.20338000000001
589,2.0,The Ejector,Boulder,V4,1,15.0,,Chip Flakey Boulder,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0325,-116.20338000000001
590,2.0,Snake Charmer,Boulder,V0,1,20.0,,Feudal Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.0325,-116.20338000000001
591,2.0,Scumbler Right,Boulder,V2,1,8.0,,Hidden Crack Alcove,Shark Fin Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.0325,-116.20338000000001
592,2.0,Ricochet.,Boulder,V3,1,10.0,,Shipwreck Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.0325,-116.20338000000001
593,2.0,Medicine Man Sit Start,Boulder,V1,1,12.0,,Shipwreck Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.013690000000004,-116.15482
594,2.0,Don't call me Bill,Boulder,V9,1,18.0,,The Phantom Cart,The Outer Rim,Quail Springs Bouldering,,Joshua Tree National Park,California,34.025940000000006,-116.15522
596,2.0,John Cena,Boulder,V0,1,12.0,,The Rosetta Stone,,Loveland Bouldering,,Joshua Tree National Park,California,33.99703,-116.12061000000001
597,2.0,Unnamed,Boulder,V0-,1,12.0,,Picnic Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.08372,-116.23163999999998
598,2.0,One Man Tribe,Boulder,V4,1,12.0,,Master Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.01468,-116.1658
599,2.0,The Real Slam Dunk,Boulder,V3,1,12.0,,Feudal Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,33.99792,-116.15341000000001
600,2.0,Unnamed,Boulder,V1,1,9.0,Interceptor Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01398,-116.15438999999999
601,2.0,Poorman's Sidewinder,Boulder,V2,1,15.0,,The Yabo Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.01917,-116.16588
602,2.0,Transition Assistance,Boulder,V1,1,15.0,,Giant's Table Boulder,Miledi Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.1181,-116.1157
603,2.0,Sand Castle,Boulder,V3 R,1,21.0,,Papa Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,33.9863,-116.1602
604,2.0,California Babylon,Boulder,V-easy,1,10.0,,Towers of Uncertainty,,Geology Tour Road Bouldering,,Joshua Tree National Park,California,33.99582,-116.15775
605,2.0,Facet Cut,Boulder,V4,1,15.0,,Curelom Rock,Lehi's Wilderness,Indian Cove Bouldering,,Joshua Tree National Park,California,33.984140000000004,-116.1525
606,2.0,Camp Four,Boulder,V0,1,12.0,Mullet Bloc,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,33.98365,-116.15426000000001
607,2.0,Mahogany,Boulder,V2,1,12.0,Knuckleball Boulder,Volcano Boulder Area,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,33.9966,-116.15785
608,2.0,Woody Problem,Boulder,V4,1,13.0,Premium Miniature Boulder,Human Sacrifice Cove,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,33.9966,-116.15785
609,2.0,Geological Justice,Boulder,V3,1,15.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.08392,-116.23255
610,2.0,Garden of Earthly Delights,Boulder,V4,1,15.0,,Oak Tree Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.08392,-116.23255
611,2.0,Calloused and Committed,Boulder,V2,1,10.0,,Little Rascal Rock,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.09428,-116.15031
612,2.0,Welcome to Reality,Boulder,V4,1,15.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,33.99585,-116.15823999999999
613,2.0,Wascally Wabbits,Boulder,V0-1,1,14.0,,Big Bud Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.1194,-116.1185
614,2.0,Chip Flakey,Boulder,V4,1,15.0,,Picnic Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.01445,-116.16091999999999
615,2.0,Vassal Lean,Boulder,V4,1,12.0,,Pabst Boulder,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.09292,-116.15333999999999
616,2.0,Hidden Crack,Boulder,V3,1,15.0,Lox Boulder,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,33.95117,-116.07671
617,2.0,Neoflange,Boulder,V4 R,1,35.0,Mullet Bloc,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.00983,-116.16681000000001
618,2.0,Turboflange,Boulder,V2 R,1,35.0,,Lessons Boulder,,Loveland Bouldering,,Joshua Tree National Park,California,34.00983,-116.16681000000001
619,2.0,Mulligan Line,Boulder,V4,1,16.0,,Oskar Blues Boulder,Shark Fin Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.08392,-116.23255
620,2.0,Certain Slab,Boulder,V0,1,15.0,,Penguins Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,33.9664,-116.0872
621,2.0,The River Nile,Boulder,V9 R,1,20.0,,Belly Roll Boulder,Semi-Precious Bouldering,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.02582,-116.04886
622,2.0,Whole Lotta Nothing,Boulder,V2,1,15.0,,Marley Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.0919,-116.15211000000001
623,1.8,Lip Encounter  1,Boulder,V0,1,20.0,Dripper Boulder,Human Sacrifice Cove,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,33.983000000000004,-116.15545
624,2.0,Serf's Up,Boulder,V2,1,12.0,The Habanero,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.09292,-116.15333999999999
625,1.8,Orbiter,Boulder,V3,1,50.0,Lox Boulder,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.01191,-116.15106999999999
626,2.0,Yabaho Dyno,Boulder,V5,1,15.0,Mullet Bloc,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.01592,-116.17844
627,2.0,Problem A,Boulder,V1,1,10.0,,Modern Ills Boulder,Shark Fin Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.07578,-116.24183000000001
628,2.0,To Have and Have Not,Boulder,V2,1,15.0,,Vibrator Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.02395,-116.17707
629,2.0,Uncertain Traverse,Boulder,V4,1,15.0,,The Unmentionable,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,33.9664,-116.0872
630,2.0,Sons of Ishmael,Boulder,V0,1,20.0,Dripper Boulder,Human Sacrifice Cove,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.09967,-116.15676
631,2.0,Poker in the Front,Boulder,V4,1,10.0,Puttyface Boulder,Human Sacrifice Cove,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.0441,-116.1061
632,2.0,Knuckleball,Boulder,V2,1,12.0,The Habanero,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,33.9454,-116.07700000000001
633,2.0,Premium Miniature,Boulder,V0-,1,8.0,,Orkney Boulder,Embryo Area,Quail Springs Bouldering,,Joshua Tree National Park,California,33.9454,-116.07700000000001
634,2.0,Flatface Left,Boulder,V2,1,12.0,Ladies Helper Boulder,Volcano Boulder Area,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.01273,-116.1793
635,2.0,Oak Blowout,Boulder,V2,1,15.0,,Equine Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.02389,-116.17714
