,Unnamed: 0,date,price,volume_estimated,RSI_14_2h,SMA_20_2h,Bollinger_Upper_2h,Bollinger_Lower_2h,sell,stoploss,buy,SMA_10,SMA_50,sma_10_sma50,volatility
362,362,2024-11-19 00:00:00,0.3432554188498903,19.001808380030628,53.10150068732813,0.3432081133252292,0.3843383252541735,0.3020779013962849,False,False,False,0.3341445298380246,0.303919941340218,0.030224588497806626,0.08226042385788862
363,363,2024-11-19 02:00:00,0.310294114362758,32.9613044871323,46.60810517339707,0.3410781540642354,0.3844476608125451,0.2977086473159257,False,False,False,0.3294662126925817,0.306320206027941,0.023146006664640673,0.08673901349661939
364,364,2024-11-19 04:00:00,0.2893091417397485,20.98497262300952,43.00273517326797,0.337679404249414,0.3860653716878739,0.2892934368109541,False,False,False,0.3234377943579868,0.30806406357783184,0.01537373078015497,0.09677193487691982
365,365,2024-11-19 06:00:00,0.3196856345981602,30.37649285841171,49.13626584167259,0.3354097668772177,0.3826287538025127,0.2881907799519226,False,False,False,0.32209395655350853,0.31042844478940235,0.011665511764106185,0.0944379738505901
366,366,2024-11-19 08:00:00,0.3122843750572458,7.401259540914362,47.78693517644432,0.3337324136041137,0.3817689296155639,0.2856958975926636,False,False,False,0.32035553064690053,0.3128132012883899,0.007542329358510624,0.0960730320229003
367,367,2024-11-19 10:00:00,0.31984624981233,7.561874755084186,49.31829068363683,0.3334291089840536,0.3817492906441544,0.2851089273239527,False,False,False,0.3191174872282961,0.3144580242698937,0.004659462958402361,0.0966403633202017
368,368,2024-11-19 12:00:00,0.283731349336363,36.11490047596699,42.85388421725756,0.331324304094847,0.3844655612712851,0.2781830469184089,False,False,False,0.3177075122048044,0.31463654060624546,0.003070971598558958,0.10628251435287622
369,369,2024-11-19 14:00:00,0.2969298284830856,13.198479146722564,45.65727845385853,0.329041373887419,0.3840357883830622,0.2740469593917758,False,False,False,0.31481192658846757,0.31539384871126896,-0.0005819221228013927,0.10998882899128637
370,370,2024-11-19 16:00:00,0.2787303540583635,18.199474424722084,42.55708382634986,0.3259452177132227,0.3850089047067176,0.2668815307197278,False,False,False,0.3078320076767805,0.3151863941093008,-0.007354386432520343,0.1181273739869898
371,371,2024-11-19 18:00:00,0.3067218228862732,27.991468827909703,48.36445073196942,0.3223555594158724,0.3764873886852525,0.2682237301464922,False,False,False,0.3060788289184218,0.3159043630115279,-0.009825534093106103,0.1082636585387603
372,372,2024-11-19 20:00:00,0.2686345040912776,38.0873187949956,42.12405222101973,0.3163806336402925,0.3661463874988943,0.2666148797816907,False,False,False,0.2986167374425605,0.31629256176756126,-0.017675824325000755,0.0995315077172036
373,373,2024-11-19 22:00:00,0.2723701527423368,3.735648651059187,42.902224151193,0.3121452769865501,0.361745645686517,0.2625449082865831,False,False,False,0.29482434128051843,0.3167706626166954,-0.021946321336176966,0.0992007373999339
374,374,2024-11-20 00:00:00,0.2453758898135751,26.99426292876167,38.8384508041236,0.3069344052229439,0.3616079142481301,0.2522608961977578,False,False,False,0.29043101608790106,0.31591331863758243,-0.025482302549681368,0.10934701805037228
375,375,2024-11-20 02:00:00,0.2337353950108474,11.64049480272772,37.20200846181345,0.3019649743413392,0.3641649227113123,0.239765025971366,False,False,False,0.2818359921291698,0.3155975166995823,-0.03376152457041248,0.12439989673994628
376,376,2024-11-20 04:00:00,0.257150920861999,23.415525851151585,42.45452187441335,0.2983390886782728,0.3621724658227537,0.2345057115337918,False,False,False,0.2763226467096451,0.3156025829756067,-0.0392799362659616,0.1276667542889619
377,377,2024-11-20 06:00:00,0.2187350642305007,38.41585663149827,36.98841161307446,0.2926645076898791,0.3635970024819159,0.2217320128978424,False,False,True,0.26621152815146215,0.3141967442536424,-0.04798521610218026,0.1418649895840735
