,Unnamed: 0,date,price,volume_estimated,RSI_14_2h,SMA_20_2h,Bollinger_Upper_2h,Bollinger_Lower_2h,sell,stoploss,buy,SMA_10,SMA_50,sma_10_sma50,volatility
1421,182,2025-02-15 06:00:00,0.4465809623904524,18.658185245397696,34.032606108862026,0.502115180831903,0.5734970734361782,0.4307332882276277,False,False,False,0.5067325459961842,0.5398899192743669,-0.03315737327818269,0.1427637852085505
1422,183,2025-02-15 08:00:00,0.4351468492842741,11.434113106178312,32.193924177355214,0.5002202353242026,0.5766827326490447,0.4237577379993604,False,False,False,0.4965717396427486,0.5345205973052198,-0.03794885766247125,0.1529249946496843
1423,184,2025-02-15 10:00:00,0.4302014968506921,4.945352433582018,31.40366209681353,0.4978532358462232,0.5799919932420444,0.415714478450402,False,False,True,0.4845546721636322,0.5297383116081532,-0.04518363944452103,0.16427751479164243
1424,185,2025-02-15 12:00:00,0.4456191103857343,15.417613535042229,36.62653292910045,0.4964125532928322,0.5812474485255777,0.4115776580600866,False,False,False,0.4718997179215175,0.5255837185932303,-0.05368400067171275,0.16966979046549113
1425,186,2025-02-15 14:00:00,0.4324588389285831,13.160271457151207,34.23070009963233,0.4942144587397067,0.5833970975649768,0.4050318199144367,False,False,False,0.46138180678809065,0.521856881187386,-0.06047507439929539,0.1783652776505401
1426,187,2025-02-15 16:00:00,0.4341356108440652,1.6767719154821004,34.815755730100776,0.4917062097441312,0.5847989043501758,0.3986135151380867,False,False,False,0.4524130286516052,0.5187223322628713,-0.06630930361126613,0.1861853892120891
1427,188,2025-02-15 18:00:00,0.432938546968845,1.1970638752202278,34.57926305447583,0.4888923590234437,0.5856326692838303,0.3921520487630571,False,False,False,0.44683032306696446,0.5150326784402022,-0.06820235537323771,0.1934806205207732
1428,189,2025-02-15 20:00:00,0.4404547314928241,7.516184523979119,37.45215322739594,0.486211654907432,0.5852910497853351,0.3871322600295291,False,False,False,0.44361013178650194,0.5117936069840685,-0.06818347519756657,0.19815878975580598
1429,190,2025-02-15 22:00:00,0.4382544616537667,2.200269839057412,36.94073951042216,0.4826253542981357,0.5832624358961066,0.3819882727001648,False,False,False,0.44010297564350875,0.509226551420321,-0.06912357577681227,0.20127416319594182
1430,191,2025-02-16 00:00:00,0.4429571595338028,4.702697880036133,38.86232759885848,0.4772118657796369,0.5738810550758405,0.3805426764834332,False,False,False,0.43787477683330406,0.5067283318897371,-0.06885355505643304,0.19333837859240732
1431,192,2025-02-16 02:00:00,0.4517822984772842,8.82513894348136,42.40903173248929,0.4725637282190857,0.5643784800034729,0.3807489764346985,False,False,False,0.43839491044198714,0.5045137106063202,-0.06611880016433308,0.1836295035687744
1432,193,2025-02-16 04:00:00,0.4582497447252176,6.46744624793344,44.930331492420265,0.4686384698144151,0.5554758676967572,0.3818010719320731,True,False,False,0.44070519998608154,0.502518727455506,-0.06181352746942442,0.1736747957646841
